priority,brand_name,domain,city,locations_count,cuisine,phone,email,facebook,instagram,address,owner_or_manager,signature_confidence,notes
P1,Pizzeria Allegria,pizzeria-allegria.ro,Bistrița/Năsăud,2,pizza,+40 758 200 994 / +40 757 013 338,allegriaeurope@yahoo.com,facebook.com/Pizzeriaallegria,instagram.com/pizzeria.allegria,"Str. Granicerilor 40 Năsăud; Str. Andrei Mureșanu 13 Bistrița",,HIGH,"2 locations confirmed via /contact; pizza segment template fits"
P1,Restaurant COS (Clubul Oamenilor de Știință),cos-restaurant-bucuresti.ro,București,1,restaurant,+40 21 211 0810 / +40 755 076 818,financiarclub@acad.ro / directorclub@acad.ro,,,"Piața Lahovari 9, Sector 1, București",,HIGH,"Romanian Academy club restaurant — institutional client, B2B angle"
P1,King Rolls,kingrolls.ro,București + Craiova,3,fusion kebab,+40 770 521 420 / +40 770 670 261 / +40 752 376 519,vitan@kingrolls.ro / afi@kingrolls.ro / craiova@kingrolls.ro,facebook.com/kingrolls.ro,instagram.com/kingrolls.ro,"Calea Vitan 17A Sector 3 + Bd. Timișoara 4A AFI Park 4 Sector 6 + Calea București 80 Electroputere Mall Craiova",,HIGH,"3 locations across 2 cities — chain account; 3 location-specific emails"
P1,Suzana Ribs & Wings,suzanaribs.ro,București,1,bbq/ribs,+40 785 444 466,reservation@suzanaribs.ro,facebook.com/suzanaribs,instagram.com/suzanaribs,"Calea Rahovei 147-153, Palatul Bragadiru, Sector 5, București 050892",,HIGH,"Bucharest premium venue — Palatul Bragadiru location"
P1,Time2Eat,time2eat.ro,București + Ilfov,3,romanian/lunch delivery,+40 757 631 631 / +40 799 985 555,,,,"Mogoșoaia / Chiajna / Buftea",,HIGH,"3 delivery zones; lunch-delivery model fits HIR dispatch perfectly. Email JS-protected on contact page."
P2,Camizo,camizo.ro,București,1,restaurant,+40 31 62 00 444,,facebook.com/camizo.ro,,"Str. Prisaca Dornei 10A, Sector 3, București 032724",,HIGH,"București single-location"
P2,Cucina Di Casa,cucinadicasa.ro,București,1,italian,+40 735 868 318,,facebook.com/199026556774937,,"Calea Văcărești 230, București 040057",,HIGH,"Tineretului area; pizza/pasta menu"
P2,MIVA Pub & Lounge,mivadelivery.ro,București,1,pub,+40 771 361 364 / +40 722 882 172,,facebook.com/mivapubandlounge,instagram.com/mivadelivery,Sector 6 București,,HIGH,"Domain mivaDELIVERY = strong delivery focus; aligned with HIR pitch"
P2,Restaurant Ardealul,restaurantardealul.ro,Constanța,1,romanian traditional,+40 723 591 047 / +40 744 990 794,,,,Constanța,,HIGH,"Mâncare tradițională și internațională"
P2,CRAFT Pub,craftpub.ro,Craiova,1,pub,+40 775 342 099,office@craftpub.ro,facebook.com/craftpub.ro,instagram.com/craftpub.ro,Craiova,,HIGH,"Email + phone present; warm-email-then-call lead"
P2,The Corner,thecorner.ro,Tulcea,1,cafe,+40 720 040 050,contact@thecorner.ro,facebook.com/thecornercafe2.0,,Tulcea,,HIGH,"Phone + email; only Tulcea lead in batch"
P2,Pizza cu Gust Galați (HQ),pizzacugust-galati.ro,Galați,1,pizza,+40 762 860 000,,facebook.com/pizzacugustgalati,instagram.com/pizzacugustgalati,"Strada Brăilei 175C, Galați 800402",,HIGH,"HQ phone for the 5-domain Pizza cu Gust chain — single conversation closes 5 sub-domains"
P2,Casa Rustic Pitești,pitesti-delivery.ro,Pitești,1,romanian,+40 788 312 856,contact@casarustic-pitesti.ro,,,Pitești,,HIGH,"Phone + email"
P2,Pizza Havana,pizzahavana.ro,Pitești,1,italian pizza,+40 757 349 655,,,,"Războieni, Pitești",,HIGH,"Wood-fired traditional Italian pizza"
P2,Green City Restaurant & Ballroom,restaurantgreencity.ro,1 Decembrie (Ilfov),1,restaurant/events,+40 757 756 094,contact@restaurantgreencity.ro,facebook.com/100083225595736,instagram.com/green_city_restaurant_,1 Decembrie Ilfov,,HIGH,"Ballroom/events business — different ICP but full contact data"
P2,Zadis Pizza & Pasta,zadis.ro,Râmnicu Vâlcea,1,pizza/pasta,+40 765 373 747,admin@zadis.ro,facebook.com/zaddyspizza,instagram.com/zadisrmvalcea,Râmnicu Vâlcea,,HIGH,"Phone + email; FB handle 'zaddyspizza' differs from domain"
